FC_WolfCompanion_CardName,Wolf Companion,狼伙伴
sh_sheep_pen_DismantleActions[0].ActionDescription,Pack up the pen to carry it. Any sheep or rams inside are set free onto the ground first.,Pack up the pen to carry it. Any sheep or rams inside are set free onto the ground first.
sh_sheep_pen_portable_CardName,Sheep Pen,Sheep Pen
sh_sheep_pen_portable_CardDescription,"A fenced sheep pen, packed for transport. Use Place to set it up.","A fenced sheep pen, packed for transport. Use Place to set it up."
sh_sheep_pen_portable_DismantleActions[0].ActionName,Place,Place
sh_sheep_pen_portable_DismantleActions[0].ActionDescription,Set up the sheep pen in your environment.,Set up the sheep pen in your environment.
sh_bp_sheep_pen_CardName,Sheep Pen Blueprint,Sheep Pen Blueprint
sh_bp_sheep_pen_CardDescription,Build a fenced pen to shelter your sheep and rams overnight.,Build a fenced pen to shelter your sheep and rams overnight.
sh_sheep_remains_CardName,Sheep Remains,Sheep Remains
sh_sheep_remains_CardDescription,All that's left of a sheep or ram taken by a predator overnight. It was left unpenned - a Sheep Pen keeps the rest of the flock safe.,All that's left of a sheep or ram taken by a predator overnight. It was left unpenned - a Sheep Pen keeps the rest of the flock safe.
WildOwl_Tracks_CardName,Owl Pellets & Feathers,Owl Pellets & Feathers
WildOwl_Tracks_CardDescription,A scatter of downy grey feathers and a matted pellet of fur and small bones. Something silent hunted here.,A scatter of downy grey feathers and a matted pellet of fur and small bones. Something silent hunted here.
WildOwl_Tracks_AlternateName0,Bloodied Feathers,Bloodied Feathers
WildOwl_Tracks_SpoilageTime_CardStatName,Freshness,Freshness
WildOwl_Tracks_SpecialDurability1_CardStatName,Blood,Blood
sh_buttered_roots_CardName,Buttered Roots
sh_buttered_roots_CardDescription,"Roasted cattail root melted with rich sheep butter. A hearty, filling meal."
sh_buttered_roots_DismantleActions[0].ActionName,Eat
sh_butter_CardInteractions[1].ActionName,Butter the Roots
sh_butter_CardInteractions[1].ActionDescription,Melt butter over roasted cattail root for a richer meal.
sh_cheese_stuffed_flatbread_CardName,Cheese-Stuffed Flatbread
sh_cheese_stuffed_flatbread_CardDescription,"A round of flatbread pressed full of sheep cheese. A satisfying, portable meal."
sh_cheese_stuffed_flatbread_DismantleActions[0].ActionName,Eat
sh_sheep_cheese_CardInteractions[0].ActionName,Stuff into Flatbread
sh_sheep_cheese_CardInteractions[0].ActionDescription,Press sheep cheese into a round of flatbread.
sh_creamy_mash_CardName,Creamy Mash
sh_creamy_mash_CardDescription,"Mashed turnroot stirred with rich sheep cream. Smooth, filling, and hydrating."
sh_creamy_mash_DismantleActions[0].ActionName,Eat
sh_cream_CardInteractions[0].ActionName,Stir into Mash
sh_cream_CardInteractions[0].ActionDescription,Stir rich cream into mashed turnroot.
WildOwl_Tied_CardName,Snared Owl,Snared Owl
WildOwl_Tied_CardDescription,"Caught alive in a snare, wings bound and furious. Must be fed regularly or it will work itself free. Can be released, or killed for its carcass.","Caught alive in a snare, wings bound and furious. Must be fed regularly or it will work itself free. Can be released, or killed for its carcass."
WildOwl_Tied_SpoilageTime_CardStatName,Hunger,Hunger
WildOwl_Tied_SpoilageTime_OnZero_ActionName,The Owl Has Escaped!,The Owl Has Escaped!
WildOwl_Tied_SpoilageTime_OnZero_ActionDescription,"Left hungry and unattended, the owl worked its bindings loose and vanished into the dark.","Left hungry and unattended, the owl worked its bindings loose and vanished into the dark."
WildOwl_Tied_CI0_ActionName,Feed Snared Owl,Feed Snared Owl
WildOwl_Tied_CI0_ActionDescription,Offer the bound owl a scrap of meat. It snatches it without gratitude.,Offer the bound owl a scrap of meat. It snatches it without gratitude.
WildOwl_Tied_DA0_ActionName,Release Snared Owl,Release Snared Owl
WildOwl_Tied_DA0_ActionDescription,"Cut the bindings and let it go. It climbs into the air without a sound, and will not come near this place again for some days.","Cut the bindings and let it go. It climbs into the air without a sound, and will not come near this place again for some days."
WildOwl_Tied_DA1_ActionName,Kill Snared Owl,Kill Snared Owl
WildOwl_Tied_DA1_ActionDescription,"A quick, ugly business. Leaves a carcass worth processing.","A quick, ugly business. Leaves a carcass worth processing."
