FC_WolfCompanion_CardName,Wolf Companion,狼伙伴
sh_felt_bedroll_CardDescription,"A dense felt bedroll, warmer and easier to carry than a simple wool blanket. Improves sleep quality in cold weather.",一张厚实的毛毡睡垫，比普通羊毛毯更保暖、更便于携带。能在寒冷天气中提升睡眠质量。
sh_bp_felt_bedroll_CardName,Felt Bedroll Blueprint,毛毡睡垫图纸
sh_bp_felt_bedroll_CardDescription,"Felt a thick layer of wool into a warm, portable bedroll.",将厚厚一层羊毛毡制成温暖便携的睡垫。
sh_sheep_pen_CardName,Sheep Pen,羊圈
sh_sheep_pen_CardDescription,A fenced enclosure for your tame sheep and rams. Sheep and rams left outside a pen overnight risk wandering off or falling to predators - a penned flock is safe.,一个围栏，用于圈养你驯化的绵羊和公羊。夜间未被圈养的绵羊和公羊有走失或被捕食者猎杀的风险——圈养的羊群是安全的。
sh_sheep_pen_DismantleActions[0].ActionName,Pick Up,拿起
sh_sheep_pen_DismantleActions[0].ActionDescription,Pack up the pen to carry it. Any sheep or rams inside are set free onto the ground first.,收起羊圈以便携带。里面的绵羊或公羊会先被放到地上。
sh_sheep_pen_portable_CardName,Sheep Pen,羊圈
sh_sheep_pen_portable_CardDescription,"A fenced sheep pen, packed for transport. Use Place to set it up.",已打包便于运输的围栏羊圈。使用「放置」来架设它。
sh_sheep_pen_portable_DismantleActions[0].ActionName,Place,放置
sh_sheep_pen_portable_DismantleActions[0].ActionDescription,Set up the sheep pen in your environment.,在你所在的环境中架设羊圈。
sh_bp_sheep_pen_CardName,Sheep Pen Blueprint,羊圈图纸
sh_bp_sheep_pen_CardDescription,Build a fenced pen to shelter your sheep and rams overnight.,建造一个围栏羊圈，在夜间为你的绵羊和公羊提供庇护。
sh_sheep_remains_CardName,Sheep Remains,羊的残骸
sh_sheep_remains_CardDescription,All that's left of a sheep or ram taken by a predator overnight. It was left unpenned - a Sheep Pen keeps the rest of the flock safe.,这是一只绵羊或公羊在夜间被捕食者猎杀后留下的残骸。它当时没有被圈养——羊圈能让羊群的其余部分保持安全。
WildOwl_Tracks_CardName,Owl Pellets & Feathers,猫头鹰食丸与羽毛
WildOwl_Tracks_CardDescription,A scatter of downy grey feathers and a matted pellet of fur and small bones. Something silent hunted here.,散落着几根灰色的绒羽，还有一团裹着毛发和细小骨头的食丸。有什么无声的猎手来过这里。
WildOwl_Tracks_AlternateName0,Bloodied Feathers,染血的羽毛
WildOwl_Tracks_SpoilageTime_CardStatName,Freshness,新鲜度
WildOwl_Tracks_SpecialDurability1_CardStatName,Blood,血迹
sh_buttered_roots_CardName,Buttered Roots,黄油根茎
sh_buttered_roots_CardDescription,"Roasted cattail root melted with rich sheep butter. A hearty, filling meal.",将黄油融化在烤香蒲根上，做成丰盛饱腹的一餐。
sh_buttered_roots_DismantleActions[0].ActionName,Eat,吃掉
sh_butter_CardInteractions[1].ActionName,Butter the Roots,涂黄油
sh_butter_CardInteractions[1].ActionDescription,Melt butter over roasted cattail root for a richer meal.,将黄油融化在烤香蒲根上，做成更丰盛的一餐。
sh_cheese_stuffed_flatbread_CardName,Cheese-Stuffed Flatbread,奶酪夹饼
sh_cheese_stuffed_flatbread_CardDescription,"A round of flatbread pressed full of sheep cheese. A satisfying, portable meal.",塞满羊奶酪的圆形扁面包。令人满足、便于携带的一餐。
sh_cheese_stuffed_flatbread_DismantleActions[0].ActionName,Eat,吃掉
sh_sheep_cheese_CardInteractions[0].ActionName,Stuff into Flatbread,塞入饼中
sh_sheep_cheese_CardInteractions[0].ActionDescription,Press sheep cheese into a round of flatbread.,将羊奶酪压入圆形扁面包中。
sh_creamy_mash_CardName,Creamy Mash,奶油根泥
sh_creamy_mash_CardDescription,"Mashed turnroot stirred with rich sheep cream. Smooth, filling, and hydrating.",拌入浓郁羊奶油的土根泥。口感顺滑，饱腹又解渴。
sh_creamy_mash_DismantleActions[0].ActionName,Eat,吃掉
sh_cream_CardInteractions[0].ActionName,Stir into Mash,拌入根泥
sh_cream_CardInteractions[0].ActionDescription,Stir rich cream into mashed turnroot.,将浓郁的羊奶油拌入土根泥中。
WildOwl_Tied_CardName,Snared Owl,被套住的猫头鹰
WildOwl_Tied_CardDescription,"Caught alive in a snare, wings bound and furious. Must be fed regularly or it will work itself free. Can be released, or killed for its carcass.",被绳套活捉，双翅被缚，怒不可遏。必须定期喂食，否则它会挣脱逃走。可以放生，也可以杀死取其尸体。
WildOwl_Tied_SpoilageTime_CardStatName,Hunger,饥饿
WildOwl_Tied_SpoilageTime_OnZero_ActionName,The Owl Has Escaped!,猫头鹰逃脱了！
WildOwl_Tied_SpoilageTime_OnZero_ActionDescription,"Left hungry and unattended, the owl worked its bindings loose and vanished into the dark.",无人照料又饥肠辘辘，猫头鹰挣松了束缚，消失在黑暗之中。
WildOwl_Tied_CI0_ActionName,Feed Snared Owl,喂食被套住的猫头鹰
WildOwl_Tied_CI0_ActionDescription,Offer the bound owl a scrap of meat. It snatches it without gratitude.,给被缚的猫头鹰递上一块碎肉。它一把夺去，毫无谢意。
WildOwl_Tied_DA0_ActionName,Release Snared Owl,放走被套住的猫头鹰
WildOwl_Tied_DA0_ActionDescription,"Cut the bindings and let it go. It climbs into the air without a sound, and will not come near this place again for some days.",割断绳索放它离去。它无声地腾空而起，接下来几天都不会再靠近这里。
WildOwl_Tied_DA1_ActionName,Kill Snared Owl,杀死被套住的猫头鹰
WildOwl_Tied_DA1_ActionDescription,"A quick, ugly business. Leaves a carcass worth processing.",干脆而难看的活计，留下一具值得处理的尸体。
sh_salted_butter_CardName,Salted Butter,加盐黄油
sh_salted_butter_CardDescription,Sheep butter worked through with salt. It keeps far longer than the fresh kind.,揉入食盐的羊奶黄油，比新鲜黄油保存得久得多。
sh_salted_butter_DismantleActions[0].ActionName,Eat,吃
sh_salted_butter_SpoilageTime_CardStatName,Spoilage,腐坏
sh_smoked_cheese_CardName,Smoked Cheese,烟熏奶酪
sh_smoked_cheese_CardDescription,A wheel of sheep cheese hung in the smoke until the rind darkened. Keeps for a season.,悬挂在烟中熏至外皮发黑的羊奶酪，可以存放一整季。
sh_smoked_cheese_DismantleActions[0].ActionName,Eat,吃
sh_smoked_cheese_SpoilageTime_CardStatName,Spoilage,腐坏
sh_berry_yogurt_CardName,Berry Yogurt,浆果酸奶
sh_berry_yogurt_CardDescription,Thick sheep yogurt stirred through with dried berries.,浓稠的羊奶酸奶拌入果干。
sh_berry_yogurt_DismantleActions[0].ActionName,Eat,吃
sh_berry_yogurt_SpoilageTime_CardStatName,Spoilage,腐坏
sh_soured_turnroot_CardName,Soured Turnroot,酸奶翻根
sh_soured_turnroot_CardDescription,Boiled turnroot under a spoonful of sour cream. Plain food made worth eating.,煮好的翻根淋上一勺酸奶油，素寴的食物也变得可口。
sh_soured_turnroot_DismantleActions[0].ActionName,Eat,吃
sh_soured_turnroot_SpoilageTime_CardStatName,Spoilage,腐坏
sh_ricotta_rye_round_CardName,Ricotta Rye Round,里科塔黑麦面包
sh_ricotta_rye_round_CardDescription,A rye round split and heaped with soft ricotta.,切开的黑麦圆面包，堆满柔软的里科塔奶酪。
sh_ricotta_rye_round_DismantleActions[0].ActionName,Eat,吃
sh_ricotta_rye_round_SpoilageTime_CardStatName,Spoilage,腐坏
sh_buttermilk_hardtack_CardName,Buttermilk Hardtack,酥乳泡饰
sh_buttermilk_hardtack_CardDescription,"Hardtack soaked soft in buttermilk. Still plain, but no longer a jaw-breaker.",用酥乳泡软的硬饰，依旧素寴，但不再崩牙。
sh_buttermilk_hardtack_DismantleActions[0].ActionName,Eat,吃
sh_buttermilk_hardtack_SpoilageTime_CardStatName,Spoilage,腐坏
sh_feather_pillow_CardName,Feather Pillow,羽绒枕
sh_feather_pillow_CardDescription,A cloth sack packed with owl down. Sleeping with it under your head takes the edge off a hard night.,填满猫头鹰细羽的布袋。柕着它入睡，难熬的夜晚也好过些。
sh_bp_feather_pillow_CardName,Feather Pillow Blueprint,羽绒枕蓝图
sh_bp_feather_pillow_CardDescription,Stuff a woven cloth with owl down and stitch it shut.,将猫头鹰细羽填入织布并缝合。
sh_bp_feather_pillow_UnlockConditionsDesc,Requires: Feathers,需要：羽毛
sh_bone_treat_CardName,Bone Treat,骨头零食
sh_bone_treat_CardDescription,"A marrow bone rubbed with dried meat. Kept aside for the wolf, not for the pot.",抹上肉干碎屑的骸骸，专为狼留的，不下锅。
sh_bone_treat_SpoilageTime_CardStatName,Spoilage,腐坏
sh_owl_treat_CardName,Owl Treat,猫头鹰零食
sh_owl_treat_CardDescription,Salted strips of meat cut small enough for a bird to swallow whole.,盐渍的肉条，切得足够小，能让鸟儿一口吞下。
sh_owl_treat_SpoilageTime_CardStatName,Spoilage,腐坏
sh_berry_mix_CardName,Berry Mix,混合果干
sh_berry_mix_CardDescription,Two kinds of dried berry rolled together. The fox can smell it through a closed pack.,两种果干拌在一起。即使包裹紧实，狐狸也能闻到。
sh_berry_mix_SpoilageTime_CardStatName,Spoilage,腐坏
sh_bp_bone_treat_CardName,Bone Treat Blueprint,骨头零食蓝图
sh_bp_bone_treat_CardDescription,Work dried meat into a marrow bone to make a treat a wolf will remember you for.,将肉干揉入骸骸，做成让狼心存感激的零食。
sh_bp_bone_treat_UnlockConditionsDesc,Requires: Bones,需要：骨头
sh_bp_owl_treat_CardName,Owl Treat Blueprint,猫头鹰零食蓝图
sh_bp_owl_treat_CardDescription,Cut meat into strips and salt them down for the owl.,将肉切成细条并用盐腌制，留给猫头鹰。
sh_bp_owl_treat_UnlockConditionsDesc,Requires: Salt,需要：盐
sh_bp_berry_mix_CardName,Berry Mix Blueprint,混合果干蓝图
sh_bp_berry_mix_CardDescription,Roll two kinds of dried berry together into a fox's favourite.,将两种果干拌匀，做成狐狸最爱。
sh_bp_berry_mix_UnlockConditionsDesc,Requires: Dried Springberries,需要：干春莓
sh_sheep_remains_CardInteractions[0].ActionName,Salvage Remains,回收残骸
sh_sheep_remains_CardInteractions[0].ActionDescription,"Cut free what the predator left - matted wool, the hide, and what meat and bone is still sound.",割下野兽留下的东西：结块的羊毛、兽皮，以及尚可用的肉与骨。
sh_butter_CardInteractions[2].ActionName,Salt the Butter,腌制黄油
sh_butter_CardInteractions[2].ActionDescription,Work salt through the butter so it will keep past the warm months.,将食盐揉入黄油，让它能挢过暖季。
sh_sheep_cheese_CardInteractions[1].ActionName,Smoke the Cheese,烟熏奶酪
sh_sheep_cheese_CardInteractions[1].ActionDescription,Hang the wheel in the smoke until the rind darkens and hardens.,将奶酪悬于烟中，直到外皮变黑变硬。
sh_curdled_milk_CardInteractions[1].ActionName,Strain Curds,滤压凝乳
sh_curdled_milk_CardInteractions[1].ActionDescription,"Gather the curds in the cheese cloth and squeeze them dry by hand. No fire needed, but the whey runs off and is lost.",用奶酪布包起凝乳，用手挤干。无需生火，但乳清会流失。
sh_yogurt_CardInteractions[0].ActionName,Stir in Berries,拌入果干
sh_yogurt_CardInteractions[0].ActionDescription,Fold dried berries through the yogurt.,将果干拌入酸奶。
sh_sour_cream_CardInteractions[0].ActionName,Dress the Turnroot,淋在翻根上
sh_sour_cream_CardInteractions[0].ActionDescription,Spoon sour cream over boiled turnroot.,将酸奶油淋在煮好的翻根上。
sh_ricotta_CardInteractions[0].ActionName,Heap onto Rye Round,堆在黑麦面包上
sh_ricotta_CardInteractions[0].ActionDescription,Split a rye round and pile the ricotta on.,切开黑麦圆面包，堆上里科塔奶酪。
sh_buttermilk_CardInteractions[0].ActionName,Soak the Hardtack,泡软硬饰
sh_buttermilk_CardInteractions[0].ActionDescription,Leave the hardtack in buttermilk until it gives under a thumb.,将硬饰泡在酥乳里，直到按下去发软。
fc_wolf_companion_CardInteractions[5].ActionName,Give Bone Treat,给予骨头零食
fc_wolf_companion_CardInteractions[5].ActionDescription,"Hand over the marrow bone you saved back. The wolf takes it carefully, then will not put it down.",递上你特意留下的骸骸。狼小心地叼住，一直不肯松口。
fc_owl_companion_CardInteractions[4].ActionName,Give Owl Treat,给予猫头鹰零食
fc_owl_companion_CardInteractions[4].ActionDescription,Offer the salted strips one at a time. The owl takes each from your fingers without a sound.,一条一条地递上盐渍肉条。猫头鹰无声地从你指间叼走。
fc_fox_companion_CardInteractions[4].ActionName,Give Berry Mix,给予混合果干
fc_fox_companion_CardInteractions[4].ActionDescription,Tip the mixed berries into your palm. The fox eats them out of your hand and stays close afterwards.,将混合果干倒在掌心。狐狸从你手中吃完，之后一直待在身边。
